CensusTract,CENTROID_X,CENTROID_Y,Total_Population
103,1377811.01,409430.2027,6294
201,1373707.717,411340.9785,4060
203,1378989.933,416152.1724,747
305,1378251.935,411972.5746,2225
402,1383076.103,410895.0991,1717
404,1387865.255,413412.7488,2098
405,1385964.18,410645.0463,3629
406,1386958.568,409573.5001,2193
409,1385334.21,408356.3744,2921
501,1381325.241,413709.5458,1760
506,1385019.579,415609.645,1884
509,1380937.68,414934.1479,1349
510,1382784.964,412458.2914,1965
511,1380275.942,411529.519,327
603,1383667.284,420045.5409,2572
605,1383270.341,417285.183,1331
703,1391838.338,414566.2449,2000
705,1393622.057,416429.0047,3106
706,1394566.711,415404.9776,2118
708,1396178.273,416548.0422,1850
709,1389973.225,415066.8952,4488
802,1387432.029,418024.6056,1710
804,1388910.882,416662.0388,1551
806,1390681.634,418025.6492,2055
807,1392159.5,418271.4509,1840
809,1389432.065,419073.8796,1701
901,1384617.454,423682.4761,1794
902,1385884.845,421319.4354,2981
903,1387028.267,419634.6981,1652
1005,1391581.849,424173.3881,2256
1011,1388089.536,426720.3714,2754
1014,1394471.473,427033.5757,3262
1016,1390867.227,421729.0747,990
1017,1390352.457,420468.2931,1539
1018,1391658.856,426736.7781,2505
1102,1395410.541,423503.6019,4260
1106,1397488.267,422417.1557,2523
1113,1394982.275,421119.849,2494
1114,1392919.78,420452.5974,1437
1115,1394875.645,418657.7509,3043
1203,1400985.982,421124.4109,1785
1204,1398856.969,419696.4327,734
1207,1400611.214,417502.0181,850
1208,1398062.954,417909.7495,907
1301,1404854.558,417332.9735,1948
1302,1403512.662,417162.4949,1423
1303,1402547.835,415704.342,1294
1304,1404902.656,414605.9,982
1306,1408537.456,415282.2301,2859
1401,1391169.769,411652.9369,5306
1402,1394285.649,413418.8876,2321
1403,1396102.879,411058.6582,3709
1404,1397240.172,413906.8517,2325
1405,1401050.965,414660.2248,1732
1406,1401205.102,412557.6461,3084
1408,1396857.306,408062.1639,4687
1410,1402137.065,407792.8204,1033
1411,1399989.6,403397.8667,1345
1413,1393606.422,408202.1673,5411
1414,1396150.662,403722.4966,5940
1516,1389048.196,405242.4908,2621
1517,1392177.054,404780.0441,5069
1608,1381513.462,403917.7482,2803
1609,1383506.92,405338.6911,3314
1702,1377800.071,407276.6471,2978
1706,1377816.391,404698.221,1780
1803,1375297.085,404842.9832,2558
1807,1373208.323,405511.3396,2260
1903,1369583.763,408635.4819,1988
1911,1366777.975,409589.9199,2522
1914,1370504.429,406546.8423,2586
1915,1370520.692,404060.4354,1909
1916,1367035.457,402990.2215,4458
1917,1369911.443,397997.5686,3677
1918,1368689.077,392608.4867,5261
1919,1367132.704,395302.0377,1952
1920,1365850.214,398331.8433,3620
2022,1356141.587,416667.7527,2910
2023,1362486.065,400549.8126,3858
2107,1366886.973,416913.8012,1944
2206,1370957.796,417014.0299,1514
2406,1378745.061,419080.0539,2283
2412,1376976.42,421414.5513,840
2503,1370542.8,417910.9409,1378
2507,1367813.869,418510.0174,803
2509,1372733.433,419430.1697,1270
2602,1369082.428,429943.4001,2038
2607,1370846.895,426389.1728,1733
2609,1373339.056,424817.195,1545
2612,1371940.453,430165.7588,1191
2614,1370594.598,420522.3617,1883
2615,1369410.35,422488.4254,1515
2620,1375292.326,420956.6703,2456
2701,1361917.155,427142.4777,2523
2703,1363817.91,425128.2055,2091
2704,1366019.42,420547.5567,1034
2708,1365238.28,427961.6734,2807
2715,1366139.184,423328.1895,3026
2814,1359321.456,414063.2908,2519
2815,1358709.695,411647.2349,1445
2901,1375227.402,396139.0995,2217
2902,1377835.736,396179.5947,4016
2904,1378103.157,391906.2994,3889
3001,1375412.107,401411.5407,4255
3102,1396997.578,385512.3391,3499
3103,1394794.301,391585.455,973
3204,1375407.384,390907.2531,2168
3206,1371875.218,394616.3708,2270
3207,1373109.091,390133.6153,1514
4011,1456048.796,484244.0701,4667
4012,1451548.029,473007.1179,3057
4013,1447860.234,475461.0259,2749
4020,1447144.611,470527.1929,3244
4035,1441828.082,469257.7496,4507
4040,1436156.293,463554.2934,1392
4050,1431764.493,470347.2324,1103
4060,1440194.462,486001.5331,2338
4070.01,1412112.604,485793.7485,5018
4070.02,1411189.543,472754.6801,6871
4080.01,1386984.395,488305.7396,5214
4080.02,1387913.108,477833.4513,6228
4090,1366873.277,485500.6244,12224
4100,1353095.694,483395.1004,1202
4110,1345094.138,486668.9163,7571
4120.01,1345469.304,470498.573,8700
4120.02,1350814.396,459477.1176,5362
4131,1366904.834,470244.9653,7223
4132.01,1363696.328,460921.4184,3682
4132.02,1358906.414,462756.1606,2686
4133,1362843.313,455444.36,4744
4134,1373338.935,455180.6856,4258
4135,1372838.567,462342.3738,6258
4141.01,1393656.635,468040.2919,5253
4141.02,1383448.343,466209.7317,7488
4142,1390008.718,456518.0308,5735
4150.01,1413109.749,461426.9814,4887
4150.02,1402283.033,451745.9534,2405
4160,1433886.99,451303.1237,1643
4171,1434569.701,447567.3254,2154
4172,1435675.965,445586.8507,1253
4180,1429887.754,447174.997,1758
4190,1419515.623,448973.5207,3025
4200,1413138.174,429135.5938,1570
4211,1411311.613,433678.9065,4129
4212,1395748.731,437758.7189,4376
4220,1405125.276,441180.2615,5413
4230,1400936.291,429678.5199,2795
4240,1395655.836,430010.7234,3426
4250,1388831.046,431701.1049,3432
4263,1381736.438,448771.1215,6170
4264,1385622.064,440645.0681,4312
4267,1390166.663,438503.922,2227
4268,1388536.735,447904.5536,5478
4270,1381434.346,426081.8863,3721
4271,1380848.4,438851.419,5646
4272,1383887.882,430712.5087,4879
4281,1379345.614,423302.2947,1198
4282,1376800.519,428295.6608,2127
4291,1372184.62,435274.667,2599
4292.01,1373670.234,449260.3699,4290
4292.02,1375822.678,441779.059,4611
4293,1360537.67,446716.4791,5370
4294,1366912.424,445076.4578,4408
4295,1369598.275,446502.292,4156
4296,1361002.275,436813.4208,3171
4297,1364830.335,432912.9919,2486
4301,1367524.719,438431.0276,2135
4302,1364045.736,440450.2743,4600
4311,1360095.47,429716.9004,3197
4314,1358941.205,434415.1496,1919
4315,1358088,430831.2876,3213
4323,1355448.274,435100.6859,1914
4324,1355283.695,432586.8762,2767
4340,1351671.909,435651.9218,1692
4350,1347532.579,437728.6324,2429
4370,1348939.706,449084.1574,5760
4390,1326849.758,466912.2576,1444
4455,1324814.919,448801.362,3837
4460,1321383.299,454249.506,1657
4470,1318367.62,461405.5157,1632
4480,1315384.314,458433.6333,1281
4490,1311303.654,455134.2061,2636
4507,1330242.747,438117.5275,3056
4508,1327875.614,441346.7466,2586
4511.01,1313910.671,448210.6125,3843
4511.02,1319188.604,442691.4346,5697
4511.04,1304033.292,448494.8093,3417
4511.05,1308932.308,439897.8579,4960
4513,1322442.944,430186.9444,7331
4520,1295867.396,427085.608,5307
4530.03,1320182.223,407338.6581,1944
4530.04,1317355.878,415765.0697,6949
4550,1321235.977,397968.8808,1432
4560.01,1330770.475,386441.378,3742
4560.03,1324377.005,381444.5895,6886
4560.04,1338491.513,371374.8689,4488
4571,1341221.211,383239.8571,1449
4572,1344469.789,381252.2953,3686
4580,1336376.127,397409.2089,7620
4591.01,1336584.084,432834.9664,1627
4591.02,1336100.112,423356.2376,5785
4592.01,1337404.274,412820.5309,6205
4592.02,1345467.856,407544.0955,743
4600.01,1344909.42,429473.673,4509
4600.02,1345944.264,421403.3773,3426
4610,1343333.662,436063.2092,1097
4621,1353814.986,427966.2824,2821
4626,1353179.507,424030.9495,3509
4639,1353708.69,421182.2841,2523
4643,1354695.576,413344.6803,3308
4644,1357911.993,422462.8835,3552
4656,1354659.987,411052.4761,2383
4658,1353454.428,408216.7641,3537
4687,1348751.092,402186.4117,1711
4688,1347080.27,399571.7838,2326
4689,1351597.746,398573.8543,3916
4690,1358379.231,403126.1282,4653
4703,1350255.429,390407.1802,3968
4704,1348676.6,385720.1096,3019
4705.01,1356766.644,396083.9798,3529
4705.02,1353933.562,398006.8453,3001
4706,1349120.702,395449.1106,3485
4710,1347585.517,394085.2227,1324
4721,1363329.392,396473.9448,2422
4722,1361748.739,394841.3547,2337
4723,1364080.838,394047.0192,1891
4724,1362626.325,392373.7343,1905
4731,1359214.993,394250.0248,4623
4732,1359709.931,390123.4986,3085
4733,1364717.874,389472.323,5584
4734.01,1361206.791,386568.7036,3631
4734.02,1361332.19,381953.4109,3708
4735,1357821.999,384440.8542,3905
4736.01,1355980.962,391285.7762,3795
4736.02,1353799.3,386604.3432,4689
4741.01,1351922.649,381126.3401,3494
4741.02,1354018.166,375266.5265,3645
4742.01,1346018.6,377059.2084,2558
4742.02,1346082.186,370025.568,5127
4742.03,1350486.568,365696.0029,4561
4751.01,1361577.848,377506.9581,4544
4751.02,1362684.283,373853.9442,1575
4752,1357024.463,369262.3291,4772
4753.01,1363149.199,369169.7287,4630
4753.03,1359450.006,363402.3051,3987
4753.04,1358921.188,360173.9103,5759
4754.01,1368674.417,374904.9302,3922
4754.02,1366202.191,365094.3794,3133
4761,1366642.874,384889.6303,4967
4762,1368974.083,383800.5342,3326
4771,1371557.453,381443.7875,3547
4772,1374881.962,384029.2812,4369
4773,1379164.131,380585.1984,6004
4781,1378308.885,386561.7805,4344
4782,1380870.823,386719.3024,5254
4790,1369174.817,389396.3652,2004
4801.01,1377388.456,374980.8245,5115
4801.02,1372954.768,376251.6841,3092
4802,1383392.049,380529.9648,3727
4803,1383212.092,395063.0559,3192
4804,1386395.786,389034.291,4677
4810,1377443.169,400528.4122,3399
4825,1395989.761,395133.4908,1784
4838,1398542.122,398561.3292,3144
4843,1402228.442,398068.0861,3568
4845,1399852.147,389377.5486,5613
4846,1400920.84,393023.2626,2170
4850,1404986.761,395993.6647,1211
4867,1413860.272,388003.9679,2226
4868,1416280.762,383814.6179,1932
4869,1415303.358,382417.3785,1398
4870,1403359.931,377862.746,1864
4881,1404494.778,390918.8052,2244
4882,1408537.33,392393.6872,3440
4883,1404346.08,384886.4469,2233
4884,1410192.181,382310.4334,4217
4885,1391347.297,381087.6031,3030
4886,1394946.983,373386.3849,5073
4890.01,1386424.847,370500.1994,4398
4890.02,1381260.427,370876.1553,3886
4900.02,1369376.182,358951.9055,4817
4900.03,1374824.468,366021.0642,3753
4900.04,1377796.434,354272.8079,4934
4911.01,1385792.487,360081.8943,6661
4912,1395672.663,363193.7469,1993
4927,1404985.402,360557.8315,1987
4928,1404992.119,356390.1231,2605
4929,1401907.572,355000.2423,2160
4940,1403563.723,348907.3958,1391
4950,1399069.514,332539.4152,3356
4961.01,1422592.385,348168.5504,3027
4961.02,1416896.037,339079.8009,4394
4962,1425375.292,358191.9891,5876
4970,1412720.748,358921.6371,1021
4980,1411955.402,368011.1797,2537
4993,1404327.532,370884.7831,1595
4994,1404423.18,366689.2702,2859
5003,1408428.956,372741.2428,3785
5010,1419729.327,365407.2891,1682
5030.02,1424284.076,376240.6917,5984
5041,1420795.809,389203.3572,5575
5070,1426827.391,389687.0774,2140
5080,1426184.159,393107.9513,1766
5094,1423122.684,398430.4121,5324
5100,1418367.312,394280.7503,1827
5120,1416507.096,397204.8552,2454
5128,1413573.711,395244.0793,1411
5129,1411075.272,399107.295,964
5138,1409875.505,396312.1548,1989
5140,1406533.367,399709.4766,2190
5151,1407311.54,402335.6459,2464
5152,1407084.259,404766.6641,2396
5153,1403522.97,402244.74,1863
5154.01,1403025.069,405260.7516,2209
5161,1404627.561,407013.9491,1373
5162,1407063.628,407214.5557,1720
5170,1411661.762,402139.2972,1733
5180.01,1412776.985,405810.2516,3479
5190,1417777.831,409589.1539,3009
5200.01,1424797.71,406593.9769,3224
5200.02,1419706.354,402341.1118,3112
5211,1435919.186,413727.1634,4637
5212,1430205.243,404512.5053,4358
5213.01,1439370.621,400961.0027,4250
5213.02,1433070.784,400646.8169,4225
5214.01,1448183.213,403726.8333,2871
5214.02,1443739.265,396243.4113,4004
5215,1447804.16,410591.3931,4221
5220,1435676.901,397849.7869,3270
5231,1409876.464,422236.729,3978
5232,1414709.02,418321.4943,3901
5233,1420078.547,421874.7653,4061
5234,1420188.292,415850.615,5002
5235.01,1426718.163,421569.1978,4830
5235.02,1432309.526,418478.2545,1462
5236,1426017.79,413804.6545,4876
5237.01,1424863.214,433202.1288,4302
5237.02,1430436.178,428059.7597,5029
5238,1418799.578,427658.9077,4798
5240,1418272.755,433694.2156,2560
5251,1421888.01,438042.0395,2040
5252,1417522.919,437772.8059,2110
5253,1420255.039,440974.6176,2248
5261.01,1439370.182,440026.3284,6977
5261.02,1451684.437,431859.9537,2148
5262.01,1441517.053,427245.5384,3744
5262.02,1442931.959,419708.047,4810
5263.01,1452351.539,422339.7185,4541
5263.02,1454417.104,417120.5091,5238
5509,1414145.468,376729.3682,1740
5512,1418687.639,377522.8824,3677
5513,1420834.115,370750.5863,2570
5519,1414656.344,379183.3907,1614
5520,1417131.463,374153.9067,2697
5521,1410823.268,375621.2223,1485
5522,1407085.059,377175.0186,915
5523,1414222.304,374292.4188,2184
5524,1416102.422,371039.2704,2755
5604,1404292.424,412030.9806,1652
5605,1403945.955,409528.7885,2447
5606,1406045.285,410432.8153,939
5610,1408275.395,408961.279,1431
5611,1408316.602,412652.7057,898
5612,1406483.773,412529.1184,1302
5614,1412198.05,414018.9742,4073
5615,1410331.302,410301.381,3124
5616,1382843.196,401696.5925,2124
5617,1380669.847,399735.2689,868
5619,1403576.27,421460.9238,2639
5620,1386646.784,415079.3923,2988
5623,1392146.415,399205.5652,3680
5624,1372785.505,401169.373,2622
5625,1359295.791,417983.4219,3083
5626,1363483.186,412510.3208,2726
5627,1371076.615,415510.76,1754
5628,1353693.615,405301.8554,1668
5629,1388060.974,396186.3182,1698
5630,1351318.423,416366.5982,3275
5631,1361462.891,408099.3994,3851
5632,1374406.971,415785.5464,2300
5633,1334199.229,456455.8755,1329
5638,1340012.772,442908.9136,3621
5639,1416769.828,401898.1409,3909
5640,1306586.878,403015.7831,5902
5641,1349482.175,407239.9479,945
5642,1430065.027,370565.0696,2311
5644,1431238.937,386539.3234,5459
5645,1393805.689,349815.4494,3026
9800,1404076.944,427920.7545,220
9801,1397892.721,425465.5817,27
9803,1399878.252,407724.2493,0
9804,1368533.28,426507.4662,0
9805,1389745.355,408638.5509,4
9806,1366029.464,415656.9759,3
9807,1370406.254,410353.5353,12
9808,1383618.607,407915.4353,0
9809,1362290.237,421057.6326,2135
9810,1388236.948,422781.3252,0
9811,1399793.516,411185.2339,5
9812,1370765.86,413520.167,0
9818,1402668.258,425086.5849,311
9822,1386338.868,412408.6769,4516
