School Number,LEALocatio,SchoolName,POINT_X,POINT_Y
103020407,9600 Babcock Boulevard,A W Beattie Career Center,1373452.755,461759.6617
102020003,900 Agnew Rd,Academy CS,1382818.28,396400.3364
103020603,300 Pearl Ave,Colfax Upper El Sch,1434796.2,447739.605
103020603,300 Pearl Ave,Springdale JSHS,1435416.694,448773.9281
103020603,300 Pearl Ave,Acmetonia Primary Sch,1425520.019,448363.8361
103020753,258 Josephs Lane,Avonworth El Sch,1348520.345,449032.3833
103020753,258 Josephs Lane,Avonworth HS,1352644.369,445062.3281
103020753,258 Josephs Lane,Avonworth MS,1352881.644,445426.117
103020753,258 Josephs Lane,Avonworth Primary Center,1348996.049,448998.3252
103021102,4900 Curry Rd,McAnnulty El Sch,1374076.587,376672.9269
103021102,4900 Curry Rd,Whitehall El Sch,1374873.187,379447.0291
103021102,4900 Curry Rd,Baldwin SHS,1378688.137,380202.5146
103021102,4900 Curry Rd,Paynter El Sch,1387041.253,389317.5065
103021102,4900 Curry Rd,Harrison MS,1372936.834,378622.4444
103021252,301 Church Rd,Bethel Memorial El Sch,1357626.731,369172.7601
103021252,301 Church Rd,William Penn El Sch,1360216.621,359950.3753
103021252,301 Church Rd,Independence MS,1361059.937,374340.1014
103021252,301 Church Rd,Bethel Park HS,1361047.874,372715.0023
103021252,301 Church Rd,Abraham Lincoln El Sch,1367979.705,380017.5282
103021252,301 Church Rd,George Washington El Sch,1355144.579,365180.8922
103021252,301 Church Rd,Benjamin Franklin El Sch,1363690.202,369372.511
103021252,301 Church Rd,Neil Armstrong 5-6 MS,1366449.483,362511.3247
103021453,3601 Brownsville Rd,Moore Sch,1380275.425,384998.7303
103021453,3601 Brownsville Rd,Elroy Avenue El Sch,1380677.153,388870.3843
103021453,3601 Brownsville Rd,Brentwood SHS,1380376.523,387028.2962
103021453,3601 Brownsville Rd,Brentwood MS,1380376.523,387028.2962
103021603,435 Kings Hwy,Carnegie El Sch,1350570.965,397689.3307
103021603,435 Kings Hwy,Crafton El Sch,1355000.714,408364.0653
103021752,2030 Swallow Hill Rd,Chartiers Valley MS,1344647.572,389568.2934
103021752,2030 Swallow Hill Rd,Chartiers Valley HS,1344647.572,389568.2934
103021752,2030 Swallow Hill Rd,Chartiers Valley Intrmd School,1351464.135,395819.0288
103021752,2030 Swallow Hill Rd,Chartiers Valley Primary Sch,1343445.637,390613.7777
102020001,201 Stanwix Street,City CHS,1372356.583,411184.7989
103021903,502 Mitchell Ave,Clairton El Sch,1404122.069,357267.9
103021903,502 Mitchell Ave,Clairton MS/HS,1404122.069,357267.9
103022103,1099 Maple Street,Cornell El Sch,1329077.659,437141.9351
103022253,19 East Union Road,Curtisville Pri Ctr,1417791.52,484765.3387
103022253,19 East Union Road,Deer Lakes HS,1416775.303,475733.4867
103022253,19 East Union Road,Deer Lakes MS,1414789.941,476819.7957
103022503,300 Kennedy Ave,Duquesne El Sch,1415499.11,385227.0276
103022803,1150 Jacks Run Rd,Logan El Sch,1431497.458,381934.456
103022803,1150 Jacks Run Rd,East Allegheny JSHS,1432445.833,382607.1869
103023153,401 Rock Run Road,Central El Sch,1420819.51,349618.3576
103023153,401 Rock Run Road,William Penn El Sch,1399611.893,332557.4061
103023153,401 Rock Run Road,Mt Vernon El Sch,1424692.556,355969.0829
103023153,401 Rock Run Road,Elizabeth Forward SHS,1412220.3,342876.3395
103023153,401 Rock Run Road,Elizabeth Forward MS,1420819.51,349618.3576
103023153,401 Rock Run Road,Greenock El Sch,1427535.459,363162.6657
199025446,829 Milton Street,Environmental Charter School at Frick Park,1402428.59,408932.0061
103023807,607 Beatty Road,Forbes Road CTC,1443762.09,413230.591
103023912,611 Field Club Rd,Dorseyville MS,1407260.664,460191.8517
103023912,611 Field Club Rd,Fairview El Sch,1402562.749,449291.0346
103023912,611 Field Club Rd,Kerr El Sch,1397103.431,437163.4522
103023912,611 Field Club Rd,Fox Chapel Area HS,1410999.698,438657.1135
103023912,611 Field Club Rd,OHara El Sch,1412434.627,437618.0175
103023912,611 Field Club Rd,Hartwood El Sch,1406626.431,460113.4435
103024102,9000 Gateway Campus Boulevard,Evergreen El Sch,1437380.02,411753.7228
103024102,9000 Gateway Campus Boulevard,Dr Cleveland Steward Jr El Sch,1441849.846,405865.9184
103024102,9000 Gateway Campus Boulevard,University Park El Sch,1447999.384,413223.907
103024102,9000 Gateway Campus Boulevard,Gateway MS,1440326.801,410869.3331
103024102,9000 Gateway Campus Boulevard,Moss Side MS,1440886.821,405617.2228
103024102,9000 Gateway Campus Boulevard,Gateway SHS,1442020.75,406472.8071
103024102,9000 Gateway Campus Boulevard,Ramsey El Sch,1443699.103,397978.8478
103024603,4591 School Dr,Central El Sch,1395448.358,458558.3936
103024603,4591 School Dr,Wyland El Sch,1381020.053,455292.6595
103024603,4591 School Dr,Poff El Sch,1392187.715,471641.4912
103024603,4591 School Dr,Hampton MS,1390104.363,464621.1674
103024603,4591 School Dr,Hampton HS,1391629.442,462919.8222
103024753,1500 Pacific Avenue,Fawn Primary Center,1445235.499,485182.4733
103024753,1500 Pacific Avenue,Fairmount Primary Center,1447600.462,471863.3421
103024753,1500 Pacific Avenue,Grandview Upper El Sch,1442831.347,469121.0502
103024753,1500 Pacific Avenue,Highlands SHS,1451046.151,474043.8854
103024753,1500 Pacific Avenue,Highlands MS,1449594.19,473884.7845
102023217,510 Heldman Street,Hill House Passport Academy Charter School,1378649.679,412002.9397
103025002,1000 Kelton Ave,Fred L Aiken El Sch,1361757.409,405510.9063
103025002,1000 Kelton Ave,Myrtle Ave Sch,1366330.622,384874.8213
103025002,1000 Kelton Ave,Keystone Oaks HS,1364783.506,392139.1265
103025002,1000 Kelton Ave,Dormont El Sch,1361148.104,394946.6844
103025002,1000 Kelton Ave,Keystone Oaks MS,1365101.095,391922.6181
102023030,1214 Liverpool St,Manchester Academic CS,1367353.145,417038.4069
103026002,3590 O'Neil Boulevard,McKeesport Area SHS,1419885.379,375069.2598
103026002,3590 O'Neil Boulevard,Founders Hall Middle Sch,1419321.844,375930.1964
103026002,3590 O'Neil Boulevard,Twin Rivers El Sch,1412162.374,375402.159
103026002,3590 O'Neil Boulevard,Francis McClure El Sch,1426342.959,377161.6994
103026037,1960 Eden Park Boulevard,McKeesport Area Tech Ctr,1419885.379,375069.2598
103026303,225 Clever Road,Montour HS,1341028.245,421911.8488
103026303,225 Clever Road,David E Williams MS,1345904.838,428310.9867
103026303,225 Clever Road,Montour El Sch,1340396.819,421266.3675
103026343,8353 University Boulevard,Moon SHS,1313271.869,438359.307
103026343,8353 University Boulevard,J H Brooks El Sch,1325183.199,434279.569
