,CensusTract,CENTROID_X,CENTROID_Y,Total_Population
0,103.0,1377811.01,409430.2027,6294
1,201.0,1373707.717,411340.9785,4060
2,203.0,1378989.9330000002,416152.1724,747
3,305.0,1378251.935,411972.5746,2225
4,402.0,1383076.1030000001,410895.0991,1717
5,404.0,1387865.255,413412.7488,2098
6,405.0,1385964.18,410645.0463,3629
7,406.0,1386958.5680000002,409573.5001,2193
8,409.0,1385334.21,408356.3744,2921
9,501.0,1381325.241,413709.5458,1760
10,506.0,1385019.5790000001,415609.645,1884
11,509.0,1380937.68,414934.1479,1349
12,510.0,1382784.9640000002,412458.2914,1965
13,511.0,1380275.9419999998,411529.519,327
14,603.0,1383667.284,420045.5409,2572
15,605.0,1383270.341,417285.18299999996,1331
16,703.0,1391838.3380000002,414566.2449,2000
17,705.0,1393622.0569999998,416429.0047,3106
18,706.0,1394566.711,415404.9776,2118
19,708.0,1396178.273,416548.0422,1850
20,709.0,1389973.225,415066.8952,4488
21,802.0,1387432.029,418024.6056,1710
22,804.0,1388910.882,416662.0388,1551
23,806.0,1390681.634,418025.6492,2055
24,807.0,1392159.5,418271.4509,1840
25,809.0,1389432.065,419073.8796,1701
26,901.0,1384617.4540000001,423682.4761,1794
27,902.0,1385884.845,421319.4354,2981
28,903.0,1387028.267,419634.6981,1652
29,1005.0,1391581.8490000002,424173.3881,2256
30,1011.0,1388089.5359999998,426720.3714,2754
31,1014.0,1394471.4730000002,427033.5757,3262
32,1016.0,1390867.227,421729.0747,990
33,1017.0,1390352.457,420468.2931,1539
34,1018.0,1391658.856,426736.7781,2505
35,1102.0,1395410.541,423503.6019,4260
36,1106.0,1397488.267,422417.1557,2523
37,1113.0,1394982.275,421119.849,2494
38,1114.0,1392919.78,420452.5974,1437
39,1115.0,1394875.645,418657.7509,3043
40,1203.0,1400985.9819999998,421124.4109,1785
41,1204.0,1398856.969,419696.4327,734
42,1207.0,1400611.2140000002,417502.0181,850
43,1208.0,1398062.9540000001,417909.7495,907
44,1301.0,1404854.5580000002,417332.9735,1948
45,1302.0,1403512.6619999998,417162.4949,1423
46,1303.0,1402547.835,415704.342,1294
47,1304.0,1404902.656,414605.9,982
